"Person" "Activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"1" 1 1 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526 -0.282165021263158 -0.068102864 -0.976609642526316 -0.971305961473684 -0.947717226105263 -0.976947355052632 -0.00416840617789474 -0.113615602435789 0.0670025007684211 -0.502699788526316 -0.102204922170526 0.0859090134589474 -0.473535485894737 -0.0546077686594737 -0.344266629473684 -0.497329132 -0.0864961355152632 -0.371342161157895 -0.304468510631579 -0.404255452631579 -0.218047792294737 -0.328024088589474 -0.402964501473684 -0.294297401726316 -0.136971176556842 -0.605934050105263 -0.136971176556842 -0.605934050105263 -0.141428809031579 -0.595334683894737 -0.160979552536842 -0.611638923789474 -0.298703679084211 -0.745800231684211 -0.279686751494737 -0.172027648052632 0.0946508048568421 -0.2889014748 -0.527252513894737 -0.305903287315789 -0.359458294673684 -0.831632851263158 -0.894922415578947 -0.741789973263158 -0.682127079052632 -0.648427953263158 -0.399169038010526 -0.813673812105263 -0.843559068315789 -0.589844510210526 -0.629247806947368 -0.701462939789474 -0.733913772105263 -0.913849623578947 -0.591157856105263 -0.773072162842105 -0.941506463052632 -0.805307766842105 -0.689131219578947 -0.415434705263158
"2" 2 1 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 -0.34660709 0.0847270871186441 -0.972693201355932 -0.972116879661017 -0.972072847627119 -0.973123471694915 0.00789533706610169 -0.277530462620339 -0.0166022362847458 -0.586090418983051 -0.271097579237288 -0.0580763176338983 -0.561550255762712 -0.53845366779661 -0.481085535084746 -0.550073869661017 -0.55362531559322 -0.504308767288136 -0.634140436101695 -0.435492677288136 -0.410904381186441 -0.656259759322034 -0.45066179559322 -0.367708980745763 -0.290407593728814 -0.741545291355932 -0.290407593728814 -0.741545291355932 -0.281424153881356 -0.699049496440678 -0.446549092881356 -0.841020257627119 -0.547911950338983 -0.887725408644068 -0.455222146440678 -0.352915676271186 -0.0672355597949153 -0.418065093559322 -0.577267177288136 -0.440487328644068 -0.565199161152542 -0.855776876949152 -0.913953232372881 -0.836712560338983 -0.673696625254237 -0.712208329491525 -0.546488295542373 -0.842339895254237 -0.879430917457627 -0.762541813728814 -0.625684735423729 -0.751726649661017 -0.735297825762712 -0.936008847288136 -0.906744473898305 -0.935932219152542 -0.961640650508475 -0.896848919830509 -0.827531521186441 -0.549410700169492
"3" 3 1 0.275567462068966 -0.0171767844203448 -0.112674859827586 -0.360356726034483 -0.0699140652103448 -0.387411994310345 -0.261986357931034 -0.138107866258621 -0.97777159137931 -0.962355639482759 -0.952091795 -0.978270181551724 -0.00562264594827586 -0.26867964387931 -0.0449619594258621 -0.52948611637931 -0.28487332862069 -0.0383599851928103 -0.571869560172414 -0.563793260172414 -0.476696411551724 -0.569471751896552 -0.602323790517241 -0.506631363275862 -0.639087984137931 -0.536664080344828 -0.377163724310345 -0.674935753448276 -0.562471328275862 -0.46194546137931 -0.254690333275862 -0.704178525344828 -0.254690333275862 -0.704178525344828 -0.280009317413793 -0.691482083965517 -0.466411754137931 -0.851659445517241 -0.566135217931034 -0.898691727413793 -0.422998473965517 -0.285565462586207 -0.0983750848206897 -0.359449600344828 -0.479195141724138 -0.334496654482759 -0.571638883448276 -0.85546337862069 -0.922917176206897 -0.790629107068965 -0.792103305689655 -0.676347532068965 -0.620420884137931 -0.836718366896552 -0.898128252068966 -0.713227371724138 -0.749358108965517 -0.747740469827586 -0.709214762586207 -0.935755410344828 -0.911074579827586 -0.949170523793103 -0.95997312862069 -0.883118062241379 -0.767460444310345 -0.503952500517241
"4" 4 1 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.440829971333333 -0.0788267367683333 -0.586252806833333 -0.0858540265666667 0.127764112666667 -0.983826494833333 -0.967963221 -0.962968112 -0.9843229285 -0.000767679338333334 -0.297042612533333 -0.221165131581667 -0.7513913825 -0.302450075666667 -0.205609508245 -0.500916659 -0.665394092833333 -0.662608226 -0.5028022105 -0.651255467833333 -0.687111329833333 -0.807419937 -0.640454132833333 -0.47447923 -0.810573272166667 -0.650566371666667 -0.509707556166667 -0.312050574166667 -0.767880258833333 -0.312050574166667 -0.767880258833333 -0.366700879833333 -0.777986943833333 -0.49779220106 -0.858243947166667 -0.6813040365 -0.950513695 -0.594198325666667 -0.415414538 -0.131863054726667 -0.587830285333333 -0.489983692166667 -0.266057180708333 -0.636377880166667 -0.889329145666667 -0.948942978166667 -0.843854227666667 -0.7641210635 -0.625703918833333 -0.63539842 -0.863927579 -0.914654212833333 -0.754850222 -0.718332681833333 -0.629842479333333 -0.8695280775 -0.909120849 -0.938561740666667 -0.988611579 -0.987312776666667 -0.952323529666667 -0.883664900333333 -0.598502034
"5" 5 1 0.27784234625 -0.0172850317482679 -0.107741776464286 -0.294098534232143 0.0767484028053571 -0.45702143625 -0.100440285303571 0.00247623628392857 -0.979348381428571 -0.961585474821429 -0.964580803928571 -0.979942638214286 8.32159351785732e-05 -0.302891024625 -0.0910397428607143 -0.612895318571429 -0.283216595107143 -0.0894601439226786 -0.490877497857143 -0.504622029821429 -0.318700615178571 -0.476313829821429 -0.527497572857143 -0.407322919821429 -0.57143812375 -0.157682543983929 -0.35399949075 -0.586925455178571 -0.217919444160714 -0.470434347964286 -0.158338674394643 -0.644131053928571 -0.158338674394643 -0.644131053928571 -0.288333024071429 -0.728845264107143 -0.355933083571429 -0.786331955 -0.444532485357143 -0.843287625892857 -0.483059957321429 -0.234254364875 0.0640433157267857 -0.442437573035714 -0.396163812875 -0.266509332539286 -0.720481427678571 -0.868969910714286 -0.905808748392857 -0.736418595178571 -0.827931160178571 -0.592344269285714 -0.738638057678571 -0.881545587321429 -0.928735233214286 -0.72069045625 -0.820997703571429 -0.602884219642857 -0.649333774107143 -0.931221369464286 -0.897381114821429 -0.915187476428571 -0.9533532125 -0.839500476428571 -0.798584507857143 -0.44602091
"6" 6 1 0.283658868070175 -0.0168954189082456 -0.110303165877193 -0.296538717368421 0.164213884996491 -0.504324207192982 -0.214694852280702 0.0331888826842105 -0.977779896491228 -0.964248568070175 -0.957205025789474 -0.978222729649123 -0.00738931200701754 -0.132784766936842 0.00808897373684211 -0.575777466491228 -0.148940463924737 0.0310615224105263 -0.446020952631579 -0.331702267894737 -0.383139334736842 -0.442595292807018 -0.378022473333333 -0.439971213333333 -0.416390246140351 -0.166684422233333 -0.169794538923509 -0.450653723508772 -0.215681057257895 -0.248458576578947 -0.166840713631579 -0.635454834385965 -0.166840713631579 -0.635454834385965 -0.195117026052632 -0.625914804385965 -0.281207841122807 -0.722061608596491 -0.321290483140351 -0.752423158070175 -0.550474621754386 -0.184605665839474 0.180967667824561 -0.498432007368421 -0.546068271929825 -0.256540000929825 -0.454904731350877 -0.78635663122807 -0.885173196842105 -0.753250031929825 -0.629576912807018 -0.471703429473684 -0.466811960940351 -0.758359092631579 -0.858141220526316 -0.627710873333333 -0.565854213578947 -0.575748811052632 -0.59178655877193 -0.727757009912281 -0.819606087719298 -0.835205697368421 -0.938391133140351 -0.886514959649123 -0.72314797122807 -0.433563773333333
"7" 7 1 0.275592961754386 -0.018653665345614 -0.110912234947368 -0.327243240701754 -0.0772618561052631 0.159631283261403 -0.159097003684211 -0.160846924029807 -0.979851271403509 -0.969404155087719 -0.952159770526316 -0.980253221754386 -0.0210398551649123 -0.346026226140351 -0.0547448948245614 -0.149488514397895 -0.368282375964912 -0.0543346922210526 -0.503313517017544 -0.23109830545614 -0.396013535263158 -0.530338025614035 -0.335749321754386 -0.422258934736842 -0.174136410738596 -0.458302971403509 -0.26962451452807 -0.295078319263158 -0.471393808070175 -0.289150119614035 -0.0978090439438596 -0.569899841754386 -0.0978090439438596 -0.569899841754386 -0.192948900438596 -0.609726845964912 -0.305959351403509 -0.703528181403509 -0.300022779964912 -0.676326836315789 0.133316828089298 -0.302125666245614 -0.0697648773526316 0.108884508208772 -0.383436830350877 -0.445048416333333 -0.686545694561403 -0.883377008245614 -0.927710835438596 -0.765391970350877 -0.832099145087719 -0.771405735263158 -0.711192086666667 -0.875593792631579 -0.916238992807018 -0.767601977719298 -0.806580235263158 -0.787946244035088 -0.683147241403509 -0.842753050701754 -0.824548554736842 -0.675444147192982 -0.954355877719298 -0.843323140350877 -0.669550476315789 -0.390747964280702
"8" 8 1 0.27468631 -0.0186628865310417 -0.107252090833333 -0.173605736002083 0.380782052708333 -0.1420885318125 -0.217102194583333 -0.186267836962021 -0.974752050208333 -0.956781505625 -0.956640104791667 -0.97548568375 -0.000673798876875 -0.2586886278125 0.233987544458333 -0.383200596479167 -0.20467082399375 0.334888011383333 -0.1992097184375 -0.2119972775 -0.0754447842395833 -0.197684020020833 -0.225407384583333 -0.0880969098 -0.428055700208333 -0.388446971666667 -0.18411828086875 -0.429122455 -0.37454014125 -0.378871842083333 0.0516786278104167 -0.441935350833333 0.0516786278104167 -0.441935350833333 -0.0668322430433333 -0.571881127708333 -0.00310243820125 -0.499001618541667 -0.339129269583333 -0.801862208333333 -0.158437341970833 -0.169019711895833 0.370102737083333 -0.1921226524625 -0.22225607555625 -0.108658627522917 -0.747185416666667 -0.868015809583333 -0.911972735208333 -0.647433337291667 -0.813112792916667 -0.4459986790625 -0.759381522083333 -0.856347844375 -0.897457098958333 -0.700740735625 -0.779259281041667 -0.660899910625 -0.804701196041667 -0.85241774375 -0.695626444791667 -0.879067376041667 -0.889904072916667 -0.562314372916667 -0.656293002916667 -0.294534231
"9" 9 1 0.278502842115385 -0.0180891971284423 -0.110820512307692 -0.238353562692308 -0.201696960826923 -0.0579636469030769 -0.0314341738730769 -0.115856121080385 -0.980971973653846 -0.971242423076923 -0.955523995576923 -0.981191667692308 0.00414762740192308 -0.206733787961538 -0.276929933846154 -0.409764526153846 -0.144142941961538 -0.212668852019231 -0.476163506730769 -0.467054167884615 -0.265683521346154 -0.477721646346154 -0.497525716346154 -0.293474440384615 -0.549200228076923 -0.457881494038462 -0.533228818846154 -0.542833871153846 -0.478379256730769 -0.467544657692308 -0.0980840496143461 -0.603349794423077 -0.0980840496143461 -0.603349794423077 -0.203733615519231 -0.689585828653846 -0.294542266826923 -0.748797301153846 -0.510253995769231 -0.882633622115385 -0.0337965256573077 -0.203955246984615 -0.220900728346154 -0.177600425134615 -0.305124876923077 -0.466508226538462 -0.788151076538462 -0.877378919423077 -0.928955736153846 -0.698808862692308 -0.859844833653846 -0.818113800576923 -0.819346656730769 -0.867552709230769 -0.915474074038462 -0.625212525769231 -0.830281850961539 -0.839732011923077 -0.895447670576923 -0.907259637115385 -0.865206141153846 -0.924977469230769 -0.890485079423077 -0.745298276923077 -0.798728374423077 -0.473447258076923
"10" 10 1 0.278574076603774 -0.017022351190566 -0.109057512132075 -0.178709734396226 -0.0227431651698113 -0.395645072075472 -0.0838277013962264 0.0549276242264151 -0.974435158113208 -0.971114719811321 -0.957862728301887 -0.974889536981132 -0.0162953195396226 -0.0521991013207547 0.0750804952113207 -0.511662905849057 -0.0556319089849057 0.037595006109434 -0.414205475283019 -0.250853318679245 -0.174524868603774 -0.419272329622641 -0.229262505396226 -0.236102120320755 -0.509683327924528 -0.329079492641509 -0.343898269811321 -0.532413083962264 -0.337244512830189 -0.423926340943396 -0.127400912069811 -0.592566527924528 -0.127400912069811 -0.592566527924528 -0.132624992298283 -0.558163648113208 -0.156458730358491 -0.649345335471698 -0.440363636603774 -0.844846881698113 -0.435304215660377 -0.0656030473007547 -0.0213778451320755 -0.43247197245283 -0.452067677924528 -0.424403595660377 -0.553458983050943 -0.771566365660377 -0.88859388245283 -0.656154530377358 -0.651680646603774 -0.695839489433962 -0.55474684309434 -0.73618488245283 -0.847604165283019 -0.524477133773585 -0.567832822396226 -0.731718352830189 -0.824179743962264 -0.859200740377358 -0.696632597169811 -0.940943519056604 -0.928382419245283 -0.684728689622642 -0.660460493207547 -0.37919801045283
